userid,test_type,assignment_count,ac_count,average_submissions_per_problem,total_submissions,average_codesize,average_codelines,average_completion_time,open_to_close_ratio,open_to_discount_ratio,timenorm_lastsubmit,ranknorm_lastsubmit,timenorm_firstsubmit,ranknorm_firstsubmit,normalized_codelines,ranknorm_codelines,normalized_codesize,ranknorm_codesize,normalized_ratio,ranknorm_ratio,error_count,score
83236,1,74,72,2.594594595,192,744.78125,35.875,11774.75676,6.2327459,8.385367916,-1.588174821,-16.72505977,-1.60513695,-16.72505977,-21.20847172,-1.078950829,-23.61427211,-1.078950829,-26.45358287,-1.078950829,41.87283622,92
83237,1,75,72,3.093333333,232,637.8017241,31.42672414,32855.01333,9.314208179,10.98823202,-0.021550841,-12.9418547,-0.776357656,-12.9418547,-20.05573153,-1.970035788,-22.88605114,-1.970035788,-26.6043242,-1.970035788,51.59000363,84
83240,1,84,82,2.869047619,241,1222.775934,59.04149378,23525.03571,1.991907962,2.792426693,-5.034187019,-27.14630411,-5.319003926,-27.14630411,-23.09187615,-1.04361452,-25.94967746,-1.04361452,-29.58349277,-1.04361452,49.60201653,99
83246,1,80,79,2.35,188,763.787234,46.44148936,4432.925,8.472464179,3.381549398,-4.106602728,-16.79995023,-5.666321444,-16.79995023,-21.73714898,-1.683755146,-24.51696441,-1.683755146,-27.65929184,-1.683755146,31.86341204,78
83250,1,78,75,2.58974359,202,830.0742574,37.81188119,13866.94872,5.652905077,1.252662588,-1.495154043,-19.77555429,-1.315387648,-19.77555429,-21.11993488,-0.514774489,-23.11364425,-0.514774489,-26.49694867,-0.514774489,43.88029978,72
83251,1,75,71,4.986666667,374,1048.612299,39.0828877,9493.92,5.886060098,6.432138942,-4.450751594,-18.10129502,-5.156936132,-18.10129502,-21.2420295,-3.691409683,-22.89567472,-3.691409683,-26.13560408,-3.691409683,97.58661274,92
83253,1,76,73,3.368421053,256,957.6289063,49.68359375,90999.59211,7.68684413,9.66616377,-1.128091012,-13.98422161,-1.208923135,-13.98422161,-20.12103021,-2.058464308,-23.08738566,-2.058464308,-26.79530504,-2.058464308,58.85766451,96
83254,1,76,76,2.723684211,207,823.2173913,45.4589372,9140.236842,17.17309385,15.60926006,-4.869315765,-0.508282678,-5.216372572,-0.508282678,-19.96287765,0.146588527,-22.40959563,0.146588527,-27.24496006,0.146588527,43.09858181,78
83255,1,80,80,3.0375,243,1104.757202,55.60082305,6680.55,6.456612692,1.671101433,-4.11907631,-22.27231933,-4.609505036,-22.27231933,-22.66337958,-3.387128471,-24.65068528,-3.387128471,-27.55205329,-3.387128471,54.29658898,96
83256,1,67,62,2.47761194,166,695.4277108,33.58433735,66072.37313,16.34249531,15.02122117,-2.85689088,8.235418526,-2.313136305,8.235418526,-19.92068402,-1.372658128,-21.50449495,-1.372658128,-23.48861787,-1.372658128,38.49701968,70
